,ï..matchup,game_date,type_of_hit,type_of_hit_nbr,exit_velocity,predicted_zone,camera_zone,used_zone
198,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,75.4,3,NA,3
199,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,66.4,1,1,1
200,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,91.3,5,NA,5
201,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,67.3,2,NA,2
202,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,4,NA,4
203,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,77.6,5,NA,5
204,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,1,1,1
205,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,71.2,5,NA,5
206,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,3,3,3
207,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,1,1,1
208,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,67.3,3,NA,3
209,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,69.1,4,4,4
210,Baltimore Orioles VS Minnesota Twins,4/20/19,Ground,3,NA,1,1,1
211,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,74.9,5,NA,5
212,Baltimore Orioles VS Minnesota Twins,4/20/19,Fly,2,NA,3,3,3
213,Baltimore Orioles VS Minnesota Twins,4/20/19,Pop Up,5,71.8,1,NA,1
214,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
215,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,65.1,2,NA,2
216,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,96.6,7,7,7
217,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,89.2,4,4,4
218,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Line,4,102.7,5,NA,5
219,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
220,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,2,NA,2
221,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,2,NA,2
222,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,48.8,4,4,4
223,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,80,1,1,1
224,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
225,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,3,NA,3
226,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Line,4,NA,1,1,1
227,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
228,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
229,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Line,4,101.6,5,NA,5
230,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
231,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,68.1,1,1,1
232,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
233,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,5,NA,5
234,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Pop Up,5,70.1,1,NA,1
235,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Pop Up,5,77.2,1,1,1
236,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,76.7,1,1,1
237,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,2,NA,2
238,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,73.4,4,NA,4
239,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,86.7,5,NA,5
240,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,4,NA,4
241,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Pop Up,5,69.9,1,NA,1
242,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,73.7,5,NA,5
243,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,2,NA,2
244,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,2,NA,2
245,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,NA,4,NA,4
246,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,82.4,5,5,5
247,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Batter hits self,1,68.3,1,1,1
248,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,NA,1,1,1
249,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,66.7,1,1,1
250,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Ground,3,78.3,1,1,1
251,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,76.6,1,1,1
252,Pittsburgh Pirates VS Milwaukee Brewers,6/1/19,Fly,2,75,5,5,5
