year,ISO_code,countries,region,pf_rol,pf_religion_restrictions,pf_religion,pf_expression_control,pf_expression,pf_score,pf_rank,ef_money_inflation,ef_money_currency,ef_money,ef_score,ef_rank,hf_score,hf_rank,hf_quartile,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
2010,MEX,Mexico,Latin America & the Caribbean,4.2,4.766666667,6.87,2.25,6.865651503,6.77785354,97,9.168504361,5,8.066003752,6.67,89,6.72392677,95,3,238,68,5,5.5
2010,MDA,Moldova,Eastern Europe,4.2,8.1,8.586666667,5.25,6.693989308,7.450517389,68,8.520058361,5,7.383535422,6.58,97,7.015258695,73,2,109,226,18,6.3
2010,MNG,Mongolia,East Asia,5.3,9.816666667,8.512962963,6.75,7.916666667,7.579832762,64,7.970073715,10,7.220501165,7.06,64,7.319916381,58,2,77,189,8,4.9
2010,MNE,Montenegro,Eastern Europe,5.499373,6.616666667,7.560555556,6,8.083333333,8.20857107,44,9.869010686,5,8.32196138,7.33,41,7.769285535,43,2,31,114,128,4.9
2010,MAR,Morocco,Middle East & North Africa,4,8.15,6.355555556,3.75,6.964285714,6.393932083,113,9.802528934,0,7.068068985,6.41,104,6.401966042,116,4,12,6,10,0.5
2010,MOZ,Mozambique,Sub-Saharan Africa,4.846367,7.405555556,7.917037037,5.75,8.773809524,6.399148388,112,7.459752036,0,5.856112616,5.51,142,5.954574194,127,4,47,18,5,1.3
2010,MMR,Myanmar,South Asia,3.445125,9.583333333,9.310555556,0.75,4.539520349,6.007949501,124,8.456323608,0,5.732753696,4.06,152,5.033974751,152,4,5,1,0,0.1
2010,NAM,Namibia,Sub-Saharan Africa,5.798668,9.305555556,8.287407407,6.5,8.595238095,7.242411373,80,9.105981958,0,6.364203262,6.84,79,7.041205687,71,2,376,3,1,6.8
2010,NPL,Nepal,South Asia,5.1,9.261111111,9.603333333,3,6.80952381,7.347653572,75,8.003951733,0,6.264733411,6.2,119,6.773826786,90,3,5,6,0,0.2
2010,NLD,Netherlands,Western Europe,8.3,4.858333333,7.458703704,8.25,9.607142857,9.197257154,10,9.745374031,10,9.558612577,7.48,28,8.338628577,15,1,251,88,190,9.4
2010,NZL,New Zealand,Oceania,8.1,9.261111111,9.716666667,8.5,9.642857143,9.428153457,5,9.418231791,10,9.648118686,8.33,3,8.879076728,2,1,203,79,175,9.3
